Date,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Volume,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,10Y_Yield,3M_Yield,RSI,VIX,CNN,Put_Call,DXY,BTC_Chg,HYG_Price,Risk_Ratio,IWM_Price,SOXX_Price,NAAIM,SKEW,AAII_Diff,Above_200MA
2026-03-10,6796.56,6845.08,6759.74,6781.48,3146682000,25002.61,25189.17,24871.44,24956.47,1129940000,4.14,3.60,42.0,24.93,28,1.00,98.87,2.47,80.04,1.34,253.36,338.81,79.29,154.46,-2.4,53.47
2026-03-11,6790.09,6811.15,6745.59,6775.80,2979127000,25053.24,25152.12,24856.60,24965.01,1003053000,4.21,3.60,41.6,24.23,27,0.94,99.39,0.41,79.86,1.35,252.85,342.09,79.29,152.44,-2.4,51.68
2026-03-12,6740.88,6740.88,6670.40,6672.62,3496195000,24771.32,24809.27,24522.24,24533.58,1150953000,4.27,3.61,34.6,27.29,21,1.05,99.66,2.02,79.35,1.32,247.41,330.19,66.99,139.94,-14.5,48.90
2026-03-13,6673.49,6733.30,6623.92,6632.19,2964237000,24660.19,24786.65,24336.53,24380.73,1083291000,4.29,3.60,32.3,27.19,20,0.91,100.50,0.28,79.20,1.31,246.59,331.32,66.99,137.76,-14.5,47.91
2026-03-16,6674.37,6729.79,6674.37,6699.38,3025489000,24646.18,24794.29,24606.46,24655.34,1176104000,4.22,3.61,40.1,23.51,23,0.90,99.93,3.25,79.45,1.32,248.92,337.83,66.99,141.49,-14.5,49.30
2026-03-17,6722.35,6754.30,6710.80,6716.09,2900989000,24760.27,24884.68,24721.56,24780.42,1072322000,4.20,3.61,41.8,22.37,21,1.05,99.61,-1.22,79.81,1.34,250.05,340.25,66.99,145.04,-14.5,50.09
2026-03-18,6697.16,6705.18,6621.66,6624.70,3009753000,24727.07,24763.58,24417.38,24425.09,1114135000,4.26,3.61,35.8,25.09,18,1.00,100.13,-3.89,79.40,1.34,246.02,338.29,66.99,136.54,-14.5,47.11
2026-03-19,6583.12,6636.74,6557.82,6606.49,3244958000,24119.37,24462.15,24100.88,24355.28,1174717000,4.28,3.61,34.7,24.06,17,1.12,99.31,-1.23,79.66,1.34,247.63,340.20,60.24,138.26,-21.6,46.91
2026-03-20,6594.66,6594.66,6473.52,6506.48,7040255000,24257.56,24267.33,23759.97,23898.15,2335365000,4.39,3.62,29.1,26.78,15,0.84,99.50,1.12,78.92,1.33,242.22,332.51,60.24,139.12,-21.6,43.93
2026-03-23,6574.96,6651.62,6565.55,6581.00,3486098000,24270.77,24465.16,24097.68,24188.59,1252413000,4.33,3.61,36.4,26.15,16,1.01,99.30,4.13,79.44,1.36,247.45,336.59,60.24,142.02,-21.6,47.11
2026-03-24,6552.09,6595.75,6525.11,6556.37,3088358000,24042.23,24170.83,23927.69,24002.45,1124432000,4.39,3.62,35.1,26.95,17,0.99,99.11,-0.18,79.17,1.35,248.78,341.02,60.24,142.63,-21.6,47.71
2026-03-25,6598.35,6633.94,6568.41,6591.90,2919894000,24236.40,24314.25,24081.38,24162.98,1146970000,4.33,3.62,38.6,25.33,19,0.89,99.62,0.97,79.42,1.36,251.82,345.25,60.24,0,-21.6,48.11
2026-03-26,6555.86,6573.22,6473.79,6477.16,3002944000,23913.19,24029.51,23574.72,23586.99,1283043000,4.42,3.62,32.3,27.44,18,0.99,99.91,-3.48,78.92,1.34,247.44,328.85,68.52,0,-17.7,46.71
2026-03-27,6453.89,6453.89,6356.08,6368.85,3141142000,23463.75,23472.89,23088.99,23132.77,1234475000,4.44,3.61,27.8,31.05,10,0.99,100.19,-3.59,78.72,1.29,243.10,323.48,68.52,139.00,-17.7,42.94
2026-03-30,6403.37,6427.31,6316.91,6343.72,3264973000,23307.75,23356.75,22841.42,22953.38,1300859000,4.34,3.60,26.7,30.61,9,0.96,100.45,1.84,78.81,1.29,239.61,309.79,68.52,142.23,-17.7,42.54
2026-03-31,6395.88,6539.05,6395.88,6528.52,3868268000,23208.00,23789.60,23198.64,23740.19,1496511000,4.31,3.60,42.2,25.25,15,1.07,99.82,2.11,79.56,1.33,248.00,328.66,68.52,145.45,-17.7,47.31
2026-04-01,6556.56,6609.67,6554.29,6575.32,3352118000,23883.29,24162.68,23871.61,24019.99,1262955000,4.32,3.61,45.4,24.54,16,0.96,99.52,-0.04,79.37,1.35,249.56,338.54,68.52,143.77,-17.7,47.71
2026-04-02,6512.61,6601.91,6474.94,6582.69,2716142000,23621.73,24076.35,23512.59,24045.53,1048162000,4.31,3.61,46.1,23.87,15,1.03,100.01,-1.94,79.56,1.32,251.29,339.61,68.36,146.95,-17.8,48.31
